ts_ns,probe,iter,cycles
830518820862894,tlb,0,3722
830518820880066,tlb,1,6028
830518820883528,tlb,2,5660
830518820886670,tlb,3,5610
830518820889789,tlb,4,5748
830518820892917,tlb,5,5772
830518820896025,tlb,6,5730
830518820899190,tlb,7,5786
830518820902317,tlb,8,5758
830518820905464,tlb,9,5728
830518820908581,tlb,10,5704
830518820911722,tlb,11,5690
830518820914866,tlb,12,5806
830518820917957,tlb,13,5706
830518820921019,tlb,14,5640
830518820924125,tlb,15,5732
830518820927293,tlb,16,5692
830518820930397,tlb,17,5732
830518820933573,tlb,18,5766
830518820936766,tlb,19,5762
830518820939899,tlb,20,5790
830518820943032,tlb,21,5726
830518820946200,tlb,22,5806
830518820949319,tlb,23,5754
830518820952404,tlb,24,5632
830518820955515,tlb,25,5738
830518820958623,tlb,26,5734
830518820961707,tlb,27,5684
830518820964807,tlb,28,5722
830518820967932,tlb,29,5778
830518820971035,tlb,30,5664
830518820974166,tlb,31,5780
830518820977232,tlb,32,5656
830518820980382,tlb,33,5760
830518820983488,tlb,34,5730
830518820986614,tlb,35,5780
830518820989716,tlb,36,5728
830518820992818,tlb,37,5722
830518820995932,tlb,38,5748
830518820999052,tlb,39,5758
830518821005528,tlb,40,12470
830518821008796,tlb,41,5734
830518821011981,tlb,42,5800
830518821015108,tlb,43,5738
830518821018219,tlb,44,5690
830518821021306,tlb,45,5656
830518821024449,tlb,46,5682
830518821027539,tlb,47,5692
830518821030635,tlb,48,5712
830518821033715,tlb,49,5676
830518821036805,tlb,50,5716
830518821039910,tlb,51,5740
830518821043012,tlb,52,5744
830518821046082,tlb,53,5680
830518821049179,tlb,54,5724
830518821052264,tlb,55,5708
830518821055401,tlb,56,5814
830518821058446,tlb,57,5626
830518821061535,tlb,58,5660
830518821064573,tlb,59,5608
830518821067655,tlb,60,5690
830518821070766,tlb,61,5702
830518821073848,tlb,62,5684
830518821076927,tlb,63,5680
830518821079959,tlb,64,5594
830518821083017,tlb,65,5650
830518821086064,tlb,66,5626
830518821089198,tlb,67,5798
830518821092329,tlb,68,5788
830518821095417,tlb,69,5710
830518821098496,tlb,70,5688
830518821101587,tlb,71,5706
830518821104674,tlb,72,5708
830518821107739,tlb,73,5664
830518821110803,tlb,74,5634
830518821113880,tlb,75,5614
830518821116997,tlb,76,5760
830518821120087,tlb,77,5710
830518821123157,tlb,78,5668
830518821126204,tlb,79,5620
830518821129296,tlb,80,5632
830518821132404,tlb,81,5690
830518821135469,tlb,82,5658
830518821138536,tlb,83,5658
830518821141619,tlb,84,5652
830518821144713,tlb,85,5718
830518821147781,tlb,86,5670
830518821150919,tlb,87,5800
830518821154004,tlb,88,5694
830518821157110,tlb,89,5742
830518821160245,tlb,90,5802
830518821163334,tlb,91,5700
830518821166451,tlb,92,5696
830518821169503,tlb,93,5618
