ts_ns,freq_khz
1765054610703389457,2000020
1765054610723579885,1981805
1765054610743792502,2000000
1765054610763881187,1999959
1765054610783941385,1999979
1765054610804026099,2000020
1765054610824135039,2000000
1765054610844312101,2000000
1765054610864402013,1834945
1765054610884508186,2000000
1765054610904593250,2000000
1765054610924679962,2000000
1765054610944775954,2000000
1765054610964890060,2000000
1765054610984946274,2000000
1765054611005060924,2000000
1765054611025148198,2000000
1765054611045235794,2000000
1765054611065329177,2000020
1765054611087942135,2000000
1765054611108039597,2000000
1765054611128139395,2000020
1765054611148254911,2000000
1765054611168344522,2000040
1765054611188463294,2000000
