ts_ns,freq_khz
1765054645683121652,2000020
1765054645703314685,2000000
1765054645723485972,2000000
1765054645743575088,1999959
1765054645763665868,1999959
1765054645783762252,1999979
1765054645803879678,2000000
1765054645824079165,1999979
1765054645844175695,2000020
1765054645864278531,2000020
1765054645884400390,2000000
1765054645904485773,2000000
1765054645924577283,2000000
1765054645944705712,1999979
1765054645964787459,1999979
1765054645984871048,1999979
1765054646004941823,2000020
1765054646025030770,1917839
1765054646045121865,2000000
1765054646065208755,2000020
1765054646085301125,2000000
1765054646105431252,1992772
1765054646125515576,1999979
1765054646145601777,2000000
1765054646165716809,1999979
1765054646185800564,2000000
1765054646205889795,1968690
