ts_ns,freq_khz
1765055710571385747,2000020
1765055710591665406,2000020
1765055710611856762,2000000
1765055710632052170,2000000
1765055710652238699,1981047
1765055710672435702,1999979
1765055710692681991,2000020
1765055710713012659,2000040
1765055710733202900,1999979
1765055710753413767,2000000
1765055710773626725,1999979
1765055710793837407,1999979
1765055710814048549,2000000
1765055710834246088,2000000
1765055710854440657,1999979
1765055710874622683,1999979
1765055710894796706,2000000
1765055710914954762,2000000
1765055710935157313,2000020
1765055710955347224,2000000
1765055710975543946,2000000
1765055710995744617,2000000
