ts_ns,freq_khz
1765054570821670686,2000000
1765054570841886717,1993941
1765054570861996546,1999979
1765054570882089883,2000000
1765054570902193250,2000000
1765054570922337418,1787670
1765054570942493882,2000000
1765054570962664109,2000020
1765054570982759845,2000000
1765054571002880995,2000000
1765054571022940780,2000000
1765054571043023890,2000000
1765054571063108415,2000000
1765054571083199470,2000000
1765054571103324778,1999979
1765054571123436826,1999979
1765054571143542381,1999979
1765054571163662353,2000000
1765054571183800539,2000000
1765054571203889285,2000000
1765054571223940568,1999979
1765054571244034171,2000020
1765054571264164204,2000000
