ts_ns,freq_khz
1765054565778386857,2000000
1765054565798598544,2000000
1765054565818701532,2000000
1765054565838828395,1999979
1765054565858907709,2000020
1765054565878940761,2000020
1765054565899048461,2004587
1765054565919205170,2000000
1765054565939293218,2000000
1765054565959392891,2000000
1765054565979481250,2000000
1765054565999601631,2000000
1765054566019692981,2000000
1765054566039783416,2000000
1765054566059896975,2000000
1765054566079940511,2000000
1765054566100030488,2000000
1765054566120154541,2000020
1765054566140235444,1999979
1765054566160318906,2000000
1765054566180400696,1999979
1765054566200495153,2000000
1765054566220633131,2000000
1765054566240718602,2000000
1765054566260832190,1999979
1765054566280916386,1999979
