ts_ns,freq_khz
1765054486859038179,2000020
1765054486879230634,2000000
1765054486899410472,2000040
1765054486919534651,2000020
1765054486939649982,1999979
1765054486959765473,2000020
1765054486979897972,1999979
1765054487000078947,1999959
1765054487020190044,2000040
1765054487040295169,2000020
1765054487060402603,2000000
1765054487080505534,2000000
1765054487100605256,2000020
1765054487120705446,1870877
1765054487140817724,2000000
1765054487160931052,2000000
1765054487181058758,2000020
1765054487201160530,1999979
