ts_ns,freq_khz
1765055575822209495,2000000
1765055575842411637,2000000
1765055575862518199,2000000
1765055575882613694,2000020
1765055575902711684,2000000
1765055575922816392,2000000
1765055575942974490,2000000
1765055575963184653,2000000
1765055575983295744,2000000
1765055576003388936,2000020
1765055576023520529,2000000
1765055576043633940,2000000
1765055576063725126,2000000
1765055576083807604,2000000
1765055576103893892,2000000
1765055576124035526,2000000
1765055576144145540,2000000
1765055576164230759,2000000
1765055576184318102,1999979
