ts_ns,freq_khz
1765054575821814336,1999979
1765054575842047923,2000020
1765054575862254652,2000000
1765054575882385258,2000000
1765054575902459960,1999979
1765054575922537494,2000000
1765054575942969230,1999979
1765054575963138491,1999979
1765054575983259749,1999979
1765054576003338677,2000020
1765054576023417948,2000020
1765054576043499590,2000000
1765054576063583093,2000000
1765054576083671355,1999979
1765054576103779111,2000020
1765054576123867151,1999979
1765054576144008635,2000020
1765054576164090073,2000000
1765054576184177713,2000040
1765054576204301892,1999979
1765054576224383530,2000000
1765054576244468041,2000000
1765054576264583841,2000020
1765054576284662596,1999979
1765054576304749422,2000000
1765054576324831532,1999979
1765054576344914175,1999939
1765054576365019919,1999979
1765054576385116453,1993409
1765054576405202498,1999979
