ts_ns,freq_khz
1765054600836793357,2000000
1765054600856945320,2000040
1765054600877077418,2000020
1765054600897225933,1999959
1765054600917315643,2000020
1765054600937400992,2000000
1765054600957514468,2000000
1765054600977672942,2000000
1765054600997779843,1999979
1765054601017920818,2000020
1765054601038019519,1999979
1765054601058104878,2000000
1765054601078194629,2000000
1765054601098338872,2000020
1765054601118450567,2000020
1765054601138543441,2000040
1765054601158638928,1920522
1765054601178764238,1951038
1765054601198874982,2000020
1765054601218941539,2000020
1765054601239025897,2000000
1765054601259111950,1999979
1765054601279224177,1964325
