ts_ns,freq_khz
1765055687868600403,2000020
1765055687888845322,2000000
1765055687909086994,2000000
1765055687929271541,1999959
1765055687949461521,1999979
1765055687969657101,2000020
1765055687989881579,2000000
1765055688010131745,2000000
1765055688030318989,2000000
1765055688050511157,1999979
1765055688070706645,2000000
1765055688090914826,2000020
1765055688111150034,2000000
1765055688131368555,2000000
1765055688151574247,2000000
1765055688171769790,1999979
1765055688191961375,1999979
1765055688212164186,2000000
