ts_ns,probe,iter,cycles
830478922063347,cache,0,182750
830478922096681,cache,1,25804
830478922109971,cache,2,24878
830478922122752,cache,3,24562
830478922135479,cache,4,24476
830478922148185,cache,5,24406
830478922160849,cache,6,24142
830478922173681,cache,7,24626
830478922185871,cache,8,23686
830478922197979,cache,9,23592
830478922210076,cache,10,23652
830478922222233,cache,11,23608
830478922234301,cache,12,23622
830478922246381,cache,13,23644
830478922258435,cache,14,23588
830478922270517,cache,15,23650
830478922282591,cache,16,23624
830478922294639,cache,17,23592
830478922306726,cache,18,23652
830478922318778,cache,19,23602
830478922330851,cache,20,23634
830478922342928,cache,21,23642
830478922354974,cache,22,23588
830478922367062,cache,23,23658
830478922379129,cache,24,23618
830478922391184,cache,25,23602
830478922403267,cache,26,23656
830478922415329,cache,27,23588
830478922427408,cache,28,23638
830478922439482,cache,29,23638
830478922451527,cache,30,23588
830478922463608,cache,31,23654
830478922475670,cache,32,23608
830478922487737,cache,33,23620
830478922499818,cache,34,23652
830478922511869,cache,35,23588
830478922523953,cache,36,23642
830478922536032,cache,37,23628
830478922548091,cache,38,23596
830478922560178,cache,39,23664
830478922572238,cache,40,23598
830478922584313,cache,41,23634
830478922596401,cache,42,23654
830478922608450,cache,43,23590
830478922620543,cache,44,23664
830478922632612,cache,45,23620
830478922644674,cache,46,23604
830478922656756,cache,47,23660
830478922668813,cache,48,23600
830478922680890,cache,49,23640
830478922692970,cache,50,23640
830478922705020,cache,51,23594
830478922717101,cache,52,23656
830478922729162,cache,53,23608
830478922741226,cache,54,23618
830478922753314,cache,55,23646
830478922765371,cache,56,23586
830478922777462,cache,57,23654
830478922789532,cache,58,23630
830478922801585,cache,59,23588
830478922813667,cache,60,23656
830478922825724,cache,61,23594
830478922837796,cache,62,23628
830478922849875,cache,63,23650
830478922861923,cache,64,23588
830478922874003,cache,65,23656
830478922886066,cache,66,23610
830478922898123,cache,67,23604
830478922910208,cache,68,23658
830478922922262,cache,69,23592
830478922934342,cache,70,23642
830478922946413,cache,71,23644
830478922958464,cache,72,23594
830478922970546,cache,73,23664
830478922982605,cache,74,23608
830478922994669,cache,75,23614
830478923009563,cache,76,29136
830478923021733,cache,77,23638
830478923033865,cache,78,23662
830478923045937,cache,79,23612
830478923058022,cache,80,23614
830478923070121,cache,81,23656
830478923082178,cache,82,23586
830478923094253,cache,83,23646
830478923106330,cache,84,23626
830478923118391,cache,85,23600
830478923130476,cache,86,23654
830478923142534,cache,87,23594
830478923154597,cache,88,23620
830478923166672,cache,89,23642
830478923178720,cache,90,23580
830478923190801,cache,91,23654
830478923202872,cache,92,23614
830478923214932,cache,93,23606
830478923227020,cache,94,23660
830478923239075,cache,95,23604
830478923251157,cache,96,23654
830478923263241,cache,97,23638
830478923275295,cache,98,23598
830478923287379,cache,99,23652
830478923299436,cache,100,23604
830478923314162,cache,101,23664
830478923326353,cache,102,23648
830478923338461,cache,103,23592
830478923350582,cache,104,23662
830478923362644,cache,105,23604
830478923374709,cache,106,23618
830478923386796,cache,107,23652
830478923398860,cache,108,23594
830478923410938,cache,109,23640
830478923423016,cache,110,23632
830478923435072,cache,111,23594
830478923447167,cache,112,23658
830478923459224,cache,113,23592
830478923471297,cache,114,23626
830478923483383,cache,115,23646
830478923495443,cache,116,23588
830478923507530,cache,117,23652
830478923519603,cache,118,23618
830478923531660,cache,119,23604
830478923543747,cache,120,23648
830478923555801,cache,121,23590
830478923567874,cache,122,23638
830478923579961,cache,123,23640
830478923592021,cache,124,23588
830478923604118,cache,125,23662
830478923616178,cache,126,23604
830478923628244,cache,127,23612
830478923640334,cache,128,23654
830478923652385,cache,129,23584
830478923664478,cache,130,23648
830478923676555,cache,131,23624
830478923688618,cache,132,23592
830478923700705,cache,133,23666
830478923712764,cache,134,23594
830478923724838,cache,135,23626
830478923736918,cache,136,23640
830478923748982,cache,137,23590
830478923761064,cache,138,23654
830478923773128,cache,139,23616
830478923785191,cache,140,23606
830478923797279,cache,141,23660
830478923809330,cache,142,23594
830478923821410,cache,143,23646
830478923833489,cache,144,23638
830478923845544,cache,145,23598
830478923857635,cache,146,23660
830478923869698,cache,147,23610
830478923881764,cache,148,23616
830478923893860,cache,149,23656
830478923905914,cache,150,23586
830478923917999,cache,151,23648
830478923930073,cache,152,23622
830478923942129,cache,153,23594
830478923954221,cache,154,23662
830478923966281,cache,155,23594
830478923978350,cache,156,23626
830478923990433,cache,157,23646
830478924020695,cache,158,59898
830478924032939,cache,159,23728
830478924045039,cache,160,23652
830478924057123,cache,161,23624
830478924069189,cache,162,23598
830478924081279,cache,163,23664
830478924093341,cache,164,23602
830478924105426,cache,165,23630
830478924117509,cache,166,23642
830478924129566,cache,167,23586
830478924141663,cache,168,23660
830478924153734,cache,169,23612
830478924165799,cache,170,23606
830478924177890,cache,171,23656
830478924189946,cache,172,23580
830478924202038,cache,173,23642
830478924214117,cache,174,23630
830478924226177,cache,175,23604
830478924238264,cache,176,23658
830478924250333,cache,177,23602
830478924262404,cache,178,23620
830478924274493,cache,179,23648
830478924286550,cache,180,23592
830478924298639,cache,181,23654
830478924310709,cache,182,23616
830478924322774,cache,183,23598
830478924334869,cache,184,23662
830478924346931,cache,185,23596
830478924359015,cache,186,23644
830478924371102,cache,187,23642
830478924383167,cache,188,23592
830478924395255,cache,189,23648
830478924407329,cache,190,23612
830478924419393,cache,191,23606
830478924431491,cache,192,23652
830478924443550,cache,193,23592
830478924455634,cache,194,23640
830478924467711,cache,195,23626
830478924479775,cache,196,23598
830478924491873,cache,197,23662
830478924503939,cache,198,23600
