ts_ns,freq_khz
1765054468826337277,2000000
1765054468846535297,2000000
1765054468866708037,2000000
1765054468886811924,2000020
1765054468906911418,2000000
1765054468927060607,2000000
1765054468947215521,2000000
1765054468967376516,1999979
1765054468987486572,2000000
1765054469007618682,2000000
1765054469027704246,2000000
1765054469047788365,2000000
1765054469067873651,1999979
1765054469087940213,2000000
1765054469108034316,1880264
1765054469128174293,2000000
1765054469148275227,2000000
1765054469168368515,2000020
1765054469188504062,2000000
1765054469208617023,2000020
