ts_ns,probe,iter,cycles
830553962683824,btb,0,1840
830553962697780,btb,1,1738
830553962699251,btb,2,1584
830553962700337,btb,3,1530
830553962701416,btb,4,1632
830553962702429,btb,5,1522
830553962703433,btb,6,1506
830553962704477,btb,7,1594
830553962705514,btb,8,1588
830553962706486,btb,9,1450
830553962707452,btb,10,1442
830553962708472,btb,11,1386
830553962709544,btb,12,1610
830553962710508,btb,13,1386
830553962711592,btb,14,1630
830553962712555,btb,15,1426
830553962713618,btb,16,1640
830553962714585,btb,17,1430
830553962715647,btb,18,1640
830553962716611,btb,19,1428
830553962717588,btb,20,1456
830553962718544,btb,21,1416
830553962719575,btb,22,1568
830553962720642,btb,23,1650
830553962721615,btb,24,1442
830553962722648,btb,25,1578
830553962723622,btb,26,1452
830553962724587,btb,27,1426
830553962725556,btb,28,1438
830553962726528,btb,29,1438
830553962727507,btb,30,1460
830553962728564,btb,31,1614
830553962729527,btb,32,1424
830553962730521,btb,33,1486
830553962731586,btb,34,1634
830553962732541,btb,35,1388
830553962733488,btb,36,1400
830553962734404,btb,37,1354
830553962735429,btb,38,1576
830553962736465,btb,39,1602
830553962737493,btb,40,1564
830553962738443,btb,41,1400
830553962739475,btb,42,1582
830553962740500,btb,43,1574
830553962741521,btb,44,1560
830553962742455,btb,45,1394
830553962743469,btb,46,1552
830553962744512,btb,47,1614
830553962745464,btb,48,1430
830553962746392,btb,49,1384
830553962747416,btb,50,1574
830553962748345,btb,51,1358
830553962749285,btb,52,1406
830553962750213,btb,53,1386
830553962751224,btb,54,1542
830553962752252,btb,55,1578
830553962753185,btb,56,1392
830553962754190,btb,57,1536
830553962755103,btb,58,1352
830553962756134,btb,59,1574
830553962757086,btb,60,1422
830553962758129,btb,61,1612
830553962759139,btb,62,1536
830553962760153,btb,63,1552
830553962761064,btb,64,1352
830553962762092,btb,65,1576
830553962763024,btb,66,1386
830553962764045,btb,67,1572
830553962764970,btb,68,1376
830553962765919,btb,69,1418
830553962766849,btb,70,1382
830553962767851,btb,71,1534
830553962768776,btb,72,1376
830553962769801,btb,73,1576
830553962770731,btb,74,1384
830553962771736,btb,75,1536
830553962772754,btb,76,1552
830553962773680,btb,77,1378
830553962774687,btb,78,1540
830553962775614,btb,79,1378
830553962776643,btb,80,1576
830553962777571,btb,81,1380
830553962778597,btb,82,1580
830553962779513,btb,83,1358
830553962780558,btb,84,1614
830553962781476,btb,85,1364
830553962782490,btb,86,1554
830553962783421,btb,87,1380
830553962784445,btb,88,1574
830553962785362,btb,89,1356
830553962786366,btb,90,1536
830553962787300,btb,91,1392
830553962788264,btb,92,1450
830553962789191,btb,93,1378
830553962790210,btb,94,1568
830553962791123,btb,95,1354
830553962792125,btb,96,1532
830553962793057,btb,97,1386
830553962794078,btb,98,1566
830553962795008,btb,99,1388
830553962796029,btb,100,1570
830553965803400,btb,101,1664
830553965804568,btb,102,1596
830553965805681,btb,103,1606
830553965806695,btb,104,1478
830553965807686,btb,105,1492
830553965808723,btb,106,1592
830553965809666,btb,107,1396
830553965810708,btb,108,1566
830553965811676,btb,109,1418
830553965812697,btb,110,1530
830553965813643,btb,111,1398
830553965814665,btb,112,1564
830553965815599,btb,113,1382
830553965816557,btb,114,1436
830553965817477,btb,115,1354
830553965818441,btb,116,1446
830553965819364,btb,117,1362
830553965820386,btb,118,1562
830553965821334,btb,119,1380
830553965822365,btb,120,1576
830553965823290,btb,121,1362
830553965824227,btb,122,1396
830553965825167,btb,123,1396
830553965826148,btb,124,1484
830553965827176,btb,125,1572
830553965828103,btb,126,1366
830553965829109,btb,127,1530
830553965830124,btb,128,1550
830553965831170,btb,129,1608
830553965832102,btb,130,1380
830553965833071,btb,131,1460
830553965834001,btb,132,1376
830553965835003,btb,133,1524
830553965836060,btb,134,1630
830553965837060,btb,135,1516
830553965837989,btb,136,1376
830553965838950,btb,137,1444
830553965839884,btb,138,1378
830553965840893,btb,139,1538
830553965841911,btb,140,1556
830553965842979,btb,141,1622
830553965843983,btb,142,1522
830553965844912,btb,143,1378
830553965845999,btb,144,1698
830553965846936,btb,145,1392
830553965847957,btb,146,1566
830553965848875,btb,147,1358
830553965849833,btb,148,1438
830553965850751,btb,149,1356
830553965851773,btb,150,1568
830553965852706,btb,151,1384
830553965853729,btb,152,1568
830553965854650,btb,153,1358
830553965855587,btb,154,1396
830553965856524,btb,155,1394
830553965857479,btb,156,1434
830553965858407,btb,157,1378
830553965859408,btb,158,1528
830553965860324,btb,159,1352
830553965861259,btb,160,1396
830553965862300,btb,161,1604
830553965863325,btb,162,1566
830553965864260,btb,163,1390
830553965865278,btb,164,1560
830553965866201,btb,165,1364
830553965867215,btb,166,1556
830553965868130,btb,167,1352
830553965869145,btb,168,1560
830553965870082,btb,169,1396
830553965871099,btb,170,1562
830553965872025,btb,171,1372
830553965873041,btb,172,1554
830553965874091,btb,173,1622
830553965875094,btb,174,1522
830553965876023,btb,175,1382
830553965877109,btb,176,1696
830553965878040,btb,177,1380
830553965878995,btb,178,1436
830553965879911,btb,179,1356
830553965880873,btb,180,1446
830553965881795,btb,181,1358
830553965882818,btb,182,1570
830553965883748,btb,183,1382
830553965884773,btb,184,1572
830553965885693,btb,185,1356
830553965886629,btb,186,1396
830553965887567,btb,187,1396
830553965888588,btb,188,1564
830553965889520,btb,189,1378
830553965890519,btb,190,1526
830553965891434,btb,191,1350
830553965892371,btb,192,1398
830553965893413,btb,193,1604
830553965894434,btb,194,1562
830553965895371,btb,195,1390
830553965896393,btb,196,1560
830553965897310,btb,197,1354
830553965898329,btb,198,1564
830553965899249,btb,199,1362
830553965900268,btb,200,1564
830553965906948,btb,201,1622
830553965908025,btb,202,1550
830553965909065,btb,203,1500
830553965910128,btb,204,1586
830553965911108,btb,205,1464
830553965912164,btb,206,1618
830553965913108,btb,207,1388
830553965914166,btb,208,1624
830553965915100,btb,209,1386
830553965916087,btb,210,1494
830553965917011,btb,211,1358
830553965918011,btb,212,1512
830553965918931,btb,213,1354
830553965919968,btb,214,1584
830553965920899,btb,215,1382
830553965922019,btb,216,1754
830553965922937,btb,217,1356
830553965923971,btb,218,1578
830553965924909,btb,219,1394
830553965925958,btb,220,1606
830553965926881,btb,221,1356
830553965928127,btb,222,2008
830553965929050,btb,223,1356
830553965930080,btb,224,1576
830553965931017,btb,225,1390
830553965932067,btb,226,1610
830553965932991,btb,227,1368
830553965934043,btb,228,1616
830553965934968,btb,229,1368
830553965936018,btb,230,1612
830553965936937,btb,231,1354
830553965938129,btb,232,1894
830553965939164,btb,233,1580
830553965940087,btb,234,1358
830553965941101,btb,235,1534
830553965942124,btb,236,1556
830553965943062,btb,237,1382
830553965944092,btb,238,1572
830553965945028,btb,239,1380
830553965946073,btb,240,1598
830553965947010,btb,241,1382
830553965947990,btb,242,1470
830553965948916,btb,243,1358
830553965949898,btb,244,1478
830553965950824,btb,245,1356
830553965951757,btb,246,1376
830553965952696,btb,247,1392
830553965953743,btb,248,1604
830553965954666,btb,249,1350
830553965955584,btb,250,1354
830553965956689,btb,251,1726
830553965957734,btb,252,1606
830553965958653,btb,253,1356
830553965959576,btb,254,1366
830553965960497,btb,255,1356
830553965961412,btb,256,1352
830553965962342,btb,257,1388
830553965963382,btb,258,1606
830553965964303,btb,259,1366
830553965965341,btb,260,1604
830553965966263,btb,261,1368
830553965967323,btb,262,1644
830553965968238,btb,263,1352
830553965969344,btb,264,1738
830553965970279,btb,265,1394
830553965971196,btb,266,1362
830553965972116,btb,267,1372
830553965973033,btb,268,1358
830553965973964,btb,269,1394
830553965974886,btb,270,1368
830553965975908,btb,271,1562
830553965976851,btb,272,1402
830553965977873,btb,273,1566
830553965978962,btb,274,1696
830553965979912,btb,275,1414
830553965980958,btb,276,1612
830553965981904,btb,277,1408
830553965982830,btb,278,1368
830553965983853,btb,279,1568
830553965984900,btb,280,1612
830553965985905,btb,281,1528
830553965986823,btb,282,1352
830553965987839,btb,283,1556
830553965988884,btb,284,1610
830553965989887,btb,285,1522
830553965990804,btb,286,1354
830553965991807,btb,287,1530
830553965992725,btb,288,1352
830553965993744,btb,289,1562
830553965994788,btb,290,1608
830553965995792,btb,291,1526
830553965996837,btb,292,1604
830553965997842,btb,293,1528
830553965998905,btb,294,1644
830553965999911,btb,295,1530
830553966004600,btb,296,1630
830553966005685,btb,297,1512
830553966006680,btb,298,1482
830553966007711,btb,299,1568
830553966008678,btb,300,1452
830553966016824,btb,301,1634
830553966017881,btb,302,1508
830553966018984,btb,303,1616
830553966019983,btb,304,1498
830553966021000,btb,305,1538
830553966021953,btb,306,1422
830553966022975,btb,307,1564
830553966023929,btb,308,1420
830553966024897,btb,309,1454
830553966025830,btb,310,1384
830553966026865,btb,311,1588
830553966027805,btb,312,1398
830553966029038,btb,313,1988
830553966029963,btb,314,1364
830553966030997,btb,315,1588
830553966031929,btb,316,1382
830553966032884,btb,317,1434
830553966033811,btb,318,1370
830553966034770,btb,319,1436
830553966035688,btb,320,1354
830553966036769,btb,321,1684
830553966037702,btb,322,1380
830553966038722,btb,323,1560
830553966039657,btb,324,1384
830553966040888,btb,325,1982
830553966041811,btb,326,1362
830553966042832,btb,327,1560
830553966043766,btb,328,1382
830553966044746,btb,329,1478
830553966045666,btb,330,1354
830553966046686,btb,331,1562
830553966047607,btb,332,1356
830553966048643,btb,333,1596
830553966049569,btb,334,1370
830553966050604,btb,335,1590
830553966051534,btb,336,1378
830553966052571,btb,337,1596
830553966053488,btb,338,1352
830553966054526,btb,339,1598
830553966055462,btb,340,1392
830553966056417,btb,341,1434
830553966057341,btb,342,1366
830553966058374,btb,343,1590
830553966059310,btb,344,1390
830553966060544,btb,345,1990
830553966061462,btb,346,1354
830553966062499,btb,347,1598
830553966063436,btb,348,1392
830553966064451,btb,349,1558
830553966065369,btb,350,1352
830553966066388,btb,351,1560
830553966067308,btb,352,1356
830553966068388,btb,353,1682
830553966069320,btb,354,1378
830553966070336,btb,355,1554
830553966071272,btb,356,1382
830553966072290,btb,357,1556
830553966073213,btb,358,1362
830553966074233,btb,359,1560
830553966075167,btb,360,1382
830553966076144,btb,361,1480
830553966077063,btb,362,1356
830553966078083,btb,363,1564
830553966079003,btb,364,1354
830553966079978,btb,365,1470
830553966080903,btb,366,1370
830553966081937,btb,367,1590
830553966082875,btb,368,1394
830553966083913,btb,369,1596
830553966084831,btb,370,1352
830553966085867,btb,371,1594
830553966086804,btb,372,1390
830553966087758,btb,373,1434
830553966088681,btb,374,1364
830553966089714,btb,375,1584
830553966090642,btb,376,1374
830553966091856,btb,377,1948
830553966092776,btb,378,1356
830553966093812,btb,379,1594
830553966094749,btb,380,1392
830553966095764,btb,381,1554
830553966096684,btb,382,1356
830553966097705,btb,383,1566
830553966098627,btb,384,1356
830553966099689,btb,385,1648
830553966100621,btb,386,1382
830553966101636,btb,387,1552
830553966102571,btb,388,1384
830553966103802,btb,389,1986
830553966104725,btb,390,1360
830553966105743,btb,391,1562
830553966106677,btb,392,1382
830553966107657,btb,393,1480
830553966108577,btb,394,1358
830553966109596,btb,395,1562
830553966110518,btb,396,1360
830553966111491,btb,397,1468
830553966112416,btb,398,1368
830553966113452,btb,399,1592
830553966114390,btb,400,1394
830553966116946,btb,401,1660
830553966118025,btb,402,1580
830553966118980,btb,403,1404
830553966119981,btb,404,1508
830553966120920,btb,405,1384
830553966121901,btb,406,1478
830553966122950,btb,407,1606
830553966123930,btb,408,1476
830553966124849,btb,409,1356
830553966125868,btb,410,1556
830553966126974,btb,411,1730
830553966128215,btb,412,2000
830553966129133,btb,413,1354
830553966130150,btb,414,1554
830553966131072,btb,415,1360
830553966132187,btb,416,1744
830553966133111,btb,417,1368
830553966134145,btb,418,1582
830553966135071,btb,419,1368
830553966136043,btb,420,1466
830553966136966,btb,421,1362
830553966137980,btb,422,1550
830553966138900,btb,423,1358
830553966140024,btb,424,1768
830553966140962,btb,425,1394
830553966142082,btb,426,1754
830553966143009,btb,427,1372
830553966144150,btb,428,1804
830553966145070,btb,429,1356
830553966146113,btb,430,1606
830553966147158,btb,431,1610
830553966148313,btb,432,1822
830553966149356,btb,433,1606
830553966150380,btb,434,1570
830553966151303,btb,435,1362
830553966152277,btb,436,1468
830553966153195,btb,437,1354
830553966154242,btb,438,1612
830553966155287,btb,439,1608
830553966156317,btb,440,1578
830553966157236,btb,441,1354
830553966158254,btb,442,1556
830553966159299,btb,443,1610
830553966160441,btb,444,1808
830553966161360,btb,445,1354
830553966162376,btb,446,1550
830553966163296,btb,447,1360
830553966164485,btb,448,1902
830553966165413,btb,449,1372
830553966166446,btb,450,1588
830553966167366,btb,451,1356
830553966168404,btb,452,1590
830553966169333,btb,453,1376
830553966170346,btb,454,1548
830553966171266,btb,455,1358
830553966172394,btb,456,1772
830553966173332,btb,457,1396
830553966174447,btb,458,1750
830553966175375,btb,459,1372
