ts_ns,freq_khz
1765055682701166057,2000000
1765055682721375234,2000000
1765055682741530933,2000000
1765055682761654537,2000000
1765055682781762726,2000000
1765055682801857379,2000020
1765055682821966389,2000000
1765055682842127763,1999979
1765055682862230328,2000020
1765055682882364670,1999979
1765055682902471291,2000000
1765055682922552256,2000000
1765055682942638924,1999979
1765055682962872974,2000000
1765055682983009847,2000020
1765055683003118133,2000020
1765055683023204537,2000000
1765055683043287405,2000040
1765055683063374250,2000020
1765055683083465248,2000000
1765055683103561448,2000000
1765055683123688837,2000000
1765055683143799186,1999979
1765055683163886420,2000000
1765055683183949935,1997184
1765055683204076256,2000000
