ts_ns,freq_khz
1765054615721867048,1999979
1765054615742074984,1999979
1765054615762182054,2000000
1765054615782317927,2000000
1765054615802416143,2000000
1765054615822508437,1999979
1765054615842628720,1999979
1765054615862814283,2000000
1765054615882931403,2000020
1765054615903072802,2000000
1765054615923195901,2000000
1765054615943296976,2000000
1765054615963423875,2000000
1765054615983509629,2000000
1765054616003619997,2000000
1765054616023715281,2000020
1765054616043812067,2000000
1765054616063918939,2000000
1765054616084075332,2000000
1765054616104164948,2000020
1765054616124256022,1996953
1765054616144380805,1999979
1765054616164487325,2000000
1765054616184578000,1840134
