ts_ns,freq_khz
1765054437810972489,2000020
1765054437831176830,2000000
1765054437851414426,2000040
1765054437871551488,2000000
1765054437891645694,2000000
1765054437911742451,2000000
1765054437931862250,2000000
1765054437952046042,1999979
1765054437972157462,2000000
1765054437992244698,2000020
1765054438012358870,2000000
1765054438032440908,2000000
1765054438052522072,2000000
1765054438072600291,2000000
1765054438092683831,2000020
1765054438112795214,2000000
1765054438132897855,1999979
1765054438152956285,2000020
1765054438173091425,2000000
1765054438193189496,2000020
1765054438213275429,2000020
