ts_ns,freq_khz
1765054520237162848,1780096
1765054520257352770,2000020
1765054520277519236,2000020
1765054520297614331,1999979
1765054520317940746,2000000
1765054520338027937,1999979
1765054520358149822,1965187
1765054520378330379,2000020
1765054520398443012,2000000
1765054520418530158,2000000
1765054520438615898,1999979
1765054520458739088,2000000
1765054520478839110,2000000
1765054520498920018,1999979
1765054520519024110,2000020
1765054520539144479,2000000
1765054520559254395,2000000
1765054520579356961,2000000
1765054520599440192,2000000
1765054520619540302,2000000
1765054520639618141,2000000
1765054520659696071,2000040
1765054520679777316,1999979
1765054520699860118,2000000
1765054520719945178,2000000
1765054520740061962,2000000
1765054520760167238,2000020
1765054520780257073,2000020
1765054520800365576,2000000
1765054520820453294,2000020
