ts_ns,freq_khz
1765054620719326922,2000020
1765054620739506519,2000000
1765054620759673663,2000040
1765054620779763652,2000000
1765054620799890879,2000000
1765054620820009724,1991780
1765054620840151762,2000000
1765054620860311251,2000000
1765054620880407085,2000020
1765054620900531810,2000000
1765054620920941270,2000000
1765054620941030460,2000000
1765054620961113336,2000000
1765054620981220529,2000000
1765054621001314689,2000000
1765054621021394943,1999979
1765054621041475383,2000000
1765054621061557108,2000000
1765054621081653955,2000040
1765054621101777988,2000020
1765054621121881422,2000040
1765054621141940698,2000000
