ts_ns,freq_khz
1764972672077648231,2000000
1764972672097819749,2000000
1764972672117906516,2000000
1764972672137983826,2000000
1764972672158075361,2000000
1764972672178155096,2000000
1764972672198255686,2000020
1764972672218399617,2000000
1764972672238475446,2000000
1764972672258549410,2000000
