ts_ns,probe,iter,cycles
830467942635948,cache,0,87362
830467942662135,cache,1,24464
830467942674756,cache,2,23670
830467942686868,cache,3,23638
830467942698950,cache,4,23636
830467942711004,cache,5,23592
830467942723095,cache,6,23660
830467942735165,cache,7,23598
830467942747234,cache,8,23612
830467942759322,cache,9,23654
830467942771375,cache,10,23586
830467942783532,cache,11,23652
830467942795625,cache,12,23626
830467942807694,cache,13,23600
830467942819793,cache,14,23662
830467942831852,cache,15,23598
830467942843934,cache,16,23628
830467942856017,cache,17,23644
830467942868079,cache,18,23590
830467942880168,cache,19,23656
830467942892245,cache,20,23612
830467942904313,cache,21,23600
830467942916398,cache,22,23660
830467942928466,cache,23,23596
830467942940545,cache,24,23634
830467942952623,cache,25,23634
830467942964686,cache,26,23590
830467942976784,cache,27,23652
830467942988842,cache,28,23608
830467943003598,cache,29,28812
830467943015813,cache,30,23660
830467943027975,cache,31,23596
830467943040072,cache,32,23656
830467943052136,cache,33,23600
830467943064211,cache,34,23622
830467943076309,cache,35,23652
830467943088368,cache,36,23586
830467943100457,cache,37,23652
830467943112531,cache,38,23626
830467943124595,cache,39,23594
830467943136691,cache,40,23666
830467943148740,cache,41,23586
830467943160822,cache,42,23632
830467943172908,cache,43,23646
830467943184959,cache,44,23582
830467943197057,cache,45,23654
830467943209125,cache,46,23614
830467943221220,cache,47,23608
830467943233318,cache,48,23658
830467943245376,cache,49,23586
830467943257453,cache,50,23638
830467943269537,cache,51,23640
830467943281599,cache,52,23588
830467943293691,cache,53,23666
830467943305746,cache,54,23596
830467943317814,cache,55,23620
830467943329907,cache,56,23652
830467943341959,cache,57,23590
830467943354050,cache,58,23650
830467943366128,cache,59,23624
830467943378187,cache,60,23594
830467943390279,cache,61,23656
830467943402336,cache,62,23598
830467943414404,cache,63,23620
830467943426490,cache,64,23644
830467943438541,cache,65,23588
830467943450634,cache,66,23652
830467943462703,cache,67,23608
830467943474770,cache,68,23610
830467943486861,cache,69,23654
830467943498924,cache,70,23596
830467943511003,cache,71,23638
830467943523082,cache,72,23632
830467943535135,cache,73,23590
830467943547225,cache,74,23658
830467943559296,cache,75,23606
830467943571369,cache,76,23622
830467943583457,cache,77,23650
830467943595516,cache,78,23590
830467943607610,cache,79,23654
830467943619684,cache,80,23622
830467943631750,cache,81,23600
830467943643840,cache,82,23662
830467943655896,cache,83,23592
830467943667973,cache,84,23628
830467943680052,cache,85,23642
830467943692109,cache,86,23596
830467943704200,cache,87,23658
830467943716271,cache,88,23614
830467943728337,cache,89,23610
830467943740430,cache,90,23658
830467943752484,cache,91,23592
830467943764567,cache,92,23646
830467943776648,cache,93,23638
830467943788708,cache,94,23592
830467943800809,cache,95,23656
830467943812896,cache,96,23606
830467943824959,cache,97,23618
830467943837050,cache,98,23650
830467943849098,cache,99,23590
830467943861182,cache,100,23650
830467943875311,cache,101,23710
830467943887494,cache,102,23624
830467943899636,cache,103,23656
830467943911737,cache,104,23588
830467943923821,cache,105,23650
830467943935899,cache,106,23622
830467943947950,cache,107,23592
830467943960042,cache,108,23660
830467943972092,cache,109,23590
830467943984169,cache,110,23626
830467943996258,cache,111,23650
830467944010670,cache,112,28184
830467944022837,cache,113,23688
830467944034893,cache,114,23598
830467944046969,cache,115,23622
830467944059050,cache,116,23648
830467944071108,cache,117,23590
830467944083194,cache,118,23648
830467944095262,cache,119,23618
830467944107325,cache,120,23602
830467944119415,cache,121,23658
830467944131472,cache,122,23586
830467944143556,cache,123,23632
830467944155637,cache,124,23630
830467944167699,cache,125,23584
830467944179792,cache,126,23656
830467944191855,cache,127,23610
830467944203921,cache,128,23614
830467944216016,cache,129,23654
830467944228071,cache,130,23584
830467944240171,cache,131,23644
830467944252250,cache,132,23624
830467944264317,cache,133,23596
830467944276416,cache,134,23658
830467944288477,cache,135,23596
830467944300551,cache,136,23626
830467944312642,cache,137,23644
830467944324690,cache,138,23588
830467944336782,cache,139,23650
830467944348849,cache,140,23612
830467944360910,cache,141,23600
830467944372997,cache,142,23656
830467944385059,cache,143,23590
830467944397131,cache,144,23638
830467944409217,cache,145,23640
830467944421276,cache,146,23596
830467944433367,cache,147,23660
830467944445427,cache,148,23608
830467944457490,cache,149,23612
830467944469576,cache,150,23658
830467944481628,cache,151,23588
830467944493717,cache,152,23644
830467944505790,cache,153,23628
830467944517839,cache,154,23594
830467944529924,cache,155,23654
830467944541976,cache,156,23602
830467944554044,cache,157,23624
830467944566119,cache,158,23644
830467944578172,cache,159,23588
830467944590261,cache,160,23658
830467944602328,cache,161,23616
830467944614382,cache,162,23600
830467944626468,cache,163,23660
830467944638522,cache,164,23598
830467944650595,cache,165,23644
830467944662688,cache,166,23642
830467944674732,cache,167,23588
830467944686821,cache,168,23658
830467944698877,cache,169,23606
830467944710936,cache,170,23612
830467944723015,cache,171,23648
830467944735064,cache,172,23590
830467944747151,cache,173,23646
830467944759221,cache,174,23622
830467944771277,cache,175,23596
830467944783359,cache,176,23654
830467944795414,cache,177,23596
830467944807476,cache,178,23622
830467944819560,cache,179,23644
830467944831607,cache,180,23588
830467944843687,cache,181,23650
830467944855751,cache,182,23620
830467944867814,cache,183,23608
830467944879898,cache,184,23654
830467944891948,cache,185,23590
830467944904027,cache,186,23638
830467944916101,cache,187,23636
830467944928156,cache,188,23588
830467944940237,cache,189,23658
830467944952296,cache,190,23604
830467944964357,cache,191,23610
830467944976438,cache,192,23656
830467944988496,cache,193,23592
830467945026832,cache,194,76032
830467945039424,cache,195,24250
830467945051543,cache,196,23658
830467945063661,cache,197,23710
830467945075776,cache,198,23706
830467945087879,cache,199,23666
830467945100007,cache,200,23732
830467945118252,cache,201,23806
830467945130414,cache,202,23660
830467945142524,cache,203,23610
830467945154614,cache,204,23610
830467945166707,cache,205,23658
830467945178777,cache,206,23588
830467945190861,cache,207,23650
830467945202948,cache,208,23638
830467945215026,cache,209,23600
830467945227135,cache,210,23670
830467945239199,cache,211,23602
830467945251273,cache,212,23628
830467945263371,cache,213,23654
830467945275429,cache,214,23588
830467945287522,cache,215,23656
830467945299599,cache,216,23622
830467945311666,cache,217,23602
830467945323759,cache,218,23658
830467945335820,cache,219,23590
830467945347908,cache,220,23636
830467945359991,cache,221,23638
830467945372059,cache,222,23590
830467945384156,cache,223,23654
830467945396226,cache,224,23606
830467945408305,cache,225,23618
830467945420404,cache,226,23654
830467945432459,cache,227,23590
830467945444549,cache,228,23648
830467945456631,cache,229,23628
