ts_ns,freq_khz
1765055765733579298,2000000
1765055765753831377,1999979
1765055765774113541,2000000
1765055765794325897,2000040
1765055765814738452,2000000
1765055765834960250,2000000
1765055765855202025,2000000
1765055765875465584,1999959
1765055765895708503,2000000
1765055765915922678,1999979
1765055765936146075,2000020
1765055765956347700,2000000
1765055765976533370,2000020
1765055765996728048,1999979
1765055766016918392,2000020
1765055766037134909,2000020
1765055766057401565,1999979
1765055766077688811,2000000
1765055766097968650,2000020
1765055766118258342,2000000
1765055766138522990,2000020
1765055766158779301,2000000
1765055766179062975,2000000
1765055766199309700,2000000
1765055766219576959,2000000
1765055766239842371,2000000
1765055766260121051,1999979
1765055766280380389,1992983
1765055766300641547,1986777
