ts_ns,freq_khz
1765055603851276499,2000000
1765055603871484203,1999959
1765055603891584145,2000020
1765055603911672796,1988539
1765055603931763368,1999979
1765055603951854860,2000000
1765055603971966435,2000020
1765055603992140867,2000000
1765055604012242034,2000000
1765055604032334601,2000000
1765055604052418375,1993355
1765055604072498607,2000000
1765055604092942544,2000000
1765055604113027680,2000000
1765055604133115182,2000000
1765055604153207502,2000000
1765055604173304256,2000000
1765055604193441299,2000020
