ts_ns,freq_khz
1765054625764261365,2000000
1765054625784467316,2000000
1765054625804562616,1999979
1765054625824646498,2000000
1765054625844730853,2000000
1765054625864817328,1999979
1765054625884963261,2000000
1765054625905125612,1999979
1765054625925212485,2000000
1765054625945297055,1999959
1765054625965381901,1999979
1765054625985465025,2000040
1765054626005562740,2000000
1765054626025711347,2000000
1765054626045802710,2000000
1765054626065888222,2000060
1765054626085940640,2000000
1765054626106035284,2000000
1765054626126125982,2000040
1765054626146217218,2000000
1765054626166312320,2000000
1765054626186411161,2000020
1765054626206541509,2000000
1765054626226632868,2000000
1765054626246723447,1999979
1765054626266808286,2000020
1765054626286892660,2000000
1765054626306940548,1999979
1765054626327023520,2000000
1765054626347113153,2000000
