ts_ns,freq_khz
1765055654999335254,2000000
1765055655019570641,2000020
1765055655039809154,1999979
1765055655059949691,2000000
1765055655080102209,2000020
1765055655100284164,2000020
1765055655120444866,2000000
1765055655140634064,2000000
1765055655160792746,1999979
1765055655180950288,2000020
1765055655201107702,1999979
1765055655221321174,2000020
1765055655241589490,1999959
1765055655261950556,2000000
1765055655282656161,2000020
1765055655302830447,2000020
1765055655322952765,2000000
1765055655343111764,2000000
1765055655363266257,2000000
1765055655383429097,2000020
1765055655403591332,2000000
