ts_ns,freq_khz
1765055720970754198,2000000
1765055720991023865,2000000
1765055721011228785,2000020
1765055721031429992,2000000
1765055721051622906,2000000
1765055721071823291,1999979
1765055721092066930,2000000
1765055721112263637,1999979
1765055721132442760,2000000
1765055721152621372,2000000
1765055721172795804,2000040
1765055721192954142,2000000
1765055721213126019,2000020
1765055721233312162,2000020
1765055721253566730,1999979
1765055721273737732,2000000
1765055721293929246,1990598
1765055721314127493,2000000
