ts_ns,freq_khz
1765055628922639504,2000000
1765055628942894106,2000000
1765055628963098231,1999979
1765055628983279557,1999979
1765055629003454276,2000000
1765055629023631511,2000000
1765055629043838669,2000000
1765055629064125204,2000020
1765055629084364797,2000000
1765055629104545585,2000000
1765055629124732235,2000000
1765055629144921834,2000000
1765055629165147471,2000000
1765055629185325589,1992637
1765055629205499596,1999979
1765055629225674205,1999979
1765055629245844797,2000020
1765055629266042643,1999979
1765055629286264154,2000020
1765055629306489815,1999979
1765055629328952999,2000000
