ts_ns,freq_khz
1765055674903162895,2000000
1765055674923365096,2000020
1765055674943543927,2000000
1765055674963669118,2000000
1765055674983752697,2000000
1765055675003840715,2000000
1765055675023942540,1999959
1765055675044065115,2000000
1765055675064159200,2000000
1765055675084250393,2000000
1765055675104340306,2000000
1765055675124435768,2000000
1765055675144544092,2000000
1765055675164635247,2000000
1765055675185326354,2000000
1765055675205652994,2000000
1765055675225767954,2000000
1765055675245895707,2000020
1765055675265941333,2000000
1765055675286024555,1999979
1765055675306121863,1999979
1765055675326256341,2000000
1765055675346339487,1999979
1765055675366423700,2000000
1765055675386514859,2000000
1765055675406601742,2000000
1765055675426694894,1999979
1765055675446783435,2000000
1765055675466886270,2000020
1765055675486948540,2000020
1765055675507070095,1999979
