ts_ns,freq_khz
1765054545547688669,2000000
1765054545567899529,2000000
1765054545588017260,2000020
1765054545608146063,2000000
1765054545628229726,2000000
1765054545648319627,2000000
1765054545668467654,1975758
1765054545688622330,1999979
1765054545708716230,2000000
1765054545728800872,2000000
1765054545748897734,1999979
1765054545769021871,2000020
1765054545789110124,2000000
1765054545809228085,2000000
1765054545829315498,1999979
1765054545849409237,1999979
1765054545869523274,1999979
1765054545889607237,1999979
1765054545909689862,2000020
1765054545929778415,2000000
1765054545949896031,1999979
1765054545969941709,2000000
