ts_ns,freq_khz
1765055631899375641,2000020
1765055631919610773,1976935
1765055631939802337,1999979
1765055631959957683,2000000
1765055631980140945,1999979
1765055632000318553,2000000
1765055632020501261,2000000
1765055632040732221,1999979
1765055632060911566,2000000
1765055632081112097,2000000
1765055632101288421,2000000
1765055632121474491,2000000
1765055632141670296,2000000
1765055632161855576,2000000
1765055632182065059,2000020
1765055632202254624,2000000
1765055632222478263,2000020
1765055632242753270,1999979
