ts_ns,freq_khz
1765055780874760860,2000000
1765055780895007757,2000000
1765055780915306776,2000020
1765055780935498270,2000000
1765055780955676330,2000000
1765055780975850763,2000040
1765055780996123233,2000020
1765055781016577074,2000020
1765055781036759151,1999959
1765055781056948994,2000020
1765055781077141833,2000000
1765055781097319367,1999979
1765055781117494239,2000000
1765055781137698564,2000020
1765055781157891064,2000000
1765055781178099591,2000000
1765055781198282150,2000000
1765055781218492210,2000000
1765055781238703682,2000020
1765055781258898209,2000020
1765055781279102641,2000000
1765055781299283438,2000000
1765055781319462200,2000000
1765055781339641976,2000000
1765055781359829249,2000000
1765055781380045148,1999979
1765055781400227122,2000000
1765055781420407780,1999979
1765055781440595840,1999979
1765055781460791515,2000020
1765055781480962452,2000020
1765055781501160485,2000020
1765055781521363926,2000020
1765055781541550996,1999979
1765055781561731365,2000000
1765055781581952559,2000000
1765055781602161946,2000020
1765055781622344801,2000000
1765055781642525986,2000000
1765055781662706821,2000000
1765055781682896605,2000000
1765055781703095123,1999959
