ts_ns,probe,iter,cycles
830506609801523,tlb,0,3586
830506609818251,tlb,1,6584
830506609821983,tlb,2,6062
830506609825210,tlb,3,5712
830506609828433,tlb,4,5874
830506609831595,tlb,5,5804
830506609834752,tlb,6,5834
830506609837896,tlb,7,5808
830506609841046,tlb,8,5784
830506609844244,tlb,9,5892
830506609847395,tlb,10,5782
830506609850616,tlb,11,5788
830506609853770,tlb,12,5734
830506609856968,tlb,13,5872
830506609860087,tlb,14,5728
830506609863197,tlb,15,5716
830506609866388,tlb,16,5876
830506609869473,tlb,17,5670
830506609872683,tlb,18,5918
830506609875870,tlb,19,5876
830506609878968,tlb,20,5694
830506609882038,tlb,21,5626
830506609885301,tlb,22,6016
830506609888400,tlb,23,5696
830506609891543,tlb,24,5790
830506609894797,tlb,25,5876
830506609897897,tlb,26,5692
830506609900987,tlb,27,5680
830506609904235,tlb,28,5976
830506609907385,tlb,29,5784
830506609910630,tlb,30,5976
830506609913710,tlb,31,5636
830506609916855,tlb,32,5792
830506609920022,tlb,33,5822
830506609923156,tlb,34,5754
830506609926247,tlb,35,5684
830506609929387,tlb,36,5770
830506609932490,tlb,37,5690
830506609935564,tlb,38,5676
830506609938774,tlb,39,5922
830506609942129,tlb,40,6202
830506609945237,tlb,41,5702
830506609948399,tlb,42,5766
830506609951552,tlb,43,5798
830506609954718,tlb,44,5826
830506609957814,tlb,45,5688
830506609960960,tlb,46,5826
830506609964147,tlb,47,5866
830506609967326,tlb,48,5856
830506609970403,tlb,49,5658
830506609973544,tlb,50,5774
830506609976735,tlb,51,5882
830506609979892,tlb,52,5810
830506609983140,tlb,53,5986
830506609986253,tlb,54,5726
830506609989415,tlb,55,5822
830506609992719,tlb,56,6098
830506609995780,tlb,57,5656
830506609998873,tlb,58,5696
830506610006224,tlb,59,13950
830506610010361,tlb,60,7008
830506610014219,tlb,61,6530
830506610018310,tlb,62,7034
830506610022186,tlb,63,6706
830506610025611,tlb,64,6006
830506610028710,tlb,65,5646
830506610031921,tlb,66,5912
830506610035064,tlb,67,5774
830506610038182,tlb,68,5728
830506610041304,tlb,69,5720
830506610044449,tlb,70,5772
830506610047596,tlb,71,5788
830506610050704,tlb,72,5712
830506610053853,tlb,73,5784
830506610056955,tlb,74,5712
830506610060063,tlb,75,5748
830506610063192,tlb,76,5746
830506610066319,tlb,77,5752
830506610069461,tlb,78,5780
830506610072616,tlb,79,5792
830506610075746,tlb,80,5744
830506610078864,tlb,81,5742
830506610081951,tlb,82,5694
830506610085052,tlb,83,5722
830506610088230,tlb,84,5872
830506610091374,tlb,85,5776
830506610094475,tlb,86,5684
830506610097679,tlb,87,5890
830506610100810,tlb,88,5758
830506610103942,tlb,89,5762
830506610107096,tlb,90,5802
830506610110216,tlb,91,5722
830506610113353,tlb,92,5754
830506610116508,tlb,93,5804
830506610119596,tlb,94,5642
