ts_ns,freq_khz
1765055690402138142,2000000
1765055690422423484,2000040
1765055690442655529,2000020
1765055690462896764,2000000
1765055690483125931,1984778
1765055690503354165,2000020
1765055690523566597,1947245
1765055690543829361,1987481
1765055690564048281,2000000
1765055690584305252,1999979
1765055690604544738,2000000
1765055690624712797,2000000
1765055690644880305,1999979
1765055690665053092,2000000
1765055690685207841,2000000
1765055690705388150,2000020
1765055690725524522,2000000
1765055690745665981,2000040
1765055690765814713,2000000
1765055690785944951,2000000
1765055690806085119,2000020
1765055690826258912,2000020
1765055690846418028,2000020
1765055690866588059,2000000
